"Date","Price","Open","High","Low","Vol.","Change %"
"07/23/2024","107.12","107.48","107.90","107.02","1.51M","-0.39%"
"07/22/2024","107.54","106.94","107.70","106.58","2.37M","0.58%"
"07/19/2024","106.92","107.58","107.61","106.31","2.16M","0.01%"
"07/18/2024","106.91","107.01","108.59","106.71","2.64M","-0.57%"
"07/17/2024","107.52","107.07","108.44","105.65","3.37M","0.93%"
"07/16/2024","106.53","106.31","107.26","105.85","3.06M","1.15%"
"07/15/2024","105.32","104.69","105.39","104.01","2.86M","-0.07%"
"07/12/2024","105.39","104.68","105.90","104.27","2.72M","0.89%"
"07/11/2024","104.46","103.06","104.89","102.66","3.33M","1.59%"
"07/10/2024","102.83","101.25","102.90","100.90","3.13M","1.87%"
"07/09/2024","100.94","100.59","101.40","100.30","3.20M","0.30%"
"07/08/2024","100.64","100.44","101.39","100.03","2.54M","0.08%"
"07/05/2024","100.56","100.00","100.97","99.55","1.93M","0.72%"
"07/03/2024","99.84","99.72","101.07","99.54","1.07M","0.03%"
"07/02/2024","99.81","99.63","100.01","99.21","1.86M","0.46%"
"07/01/2024","99.35","100.73","101.26","99.29","2.10M","-0.88%"
"06/28/2024","100.23","100.59","100.76","99.65","3.90M","-0.36%"
"06/27/2024","100.59","100.00","100.89","99.75","2.36M","0.64%"
"06/26/2024","99.95","99.85","100.21","99.30","1.96M","-0.25%"
"06/25/2024","100.20","101.24","101.46","99.96","2.15M","-1.29%"
"06/24/2024","101.51","99.99","101.84","99.78","2.03M","1.67%"
"06/21/2024","99.84","100.29","101.05","99.55","4.99M","-0.26%"
"06/20/2024","100.10","100.25","100.73","99.40","3.08M","0.07%"
"06/18/2024","100.03","100.73","101.14","99.70","2.47M","-0.76%"
"06/17/2024","100.80","101.95","102.10","100.69","2.95M","-1.52%"
"06/14/2024","102.36","100.89","102.39","100.67","2.67M","1.09%"
"06/13/2024","101.26","101.29","101.80","100.45","1.81M","-0.06%"
"06/12/2024","101.32","103.00","103.26","100.93","2.40M","-1.02%"
"06/11/2024","102.36","102.01","102.67","101.29","2.43M","-0.16%"
"06/10/2024","102.52","102.50","102.98","101.92","1.92M","-0.10%"
"06/07/2024","102.62","102.00","103.78","101.73","1.89M","-0.23%"
"06/06/2024","102.86","103.04","103.82","102.52","1.95M","-0.33%"
"06/05/2024","103.20","104.40","104.60","103.03","2.23M","-1.34%"
"06/04/2024","104.60","103.25","104.87","103.05","4.82M","1.15%"
"06/03/2024","103.41","103.09","103.82","102.82","3.43M","-0.15%"
"05/31/2024","103.57","101.62","103.64","101.45","4.00M","2.24%"
"05/30/2024","101.30","100.78","101.36","100.02","2.42M","0.88%"
"05/29/2024","100.42","100.53","100.86","100.03","2.53M","-0.75%"
"05/28/2024","101.18","101.90","102.67","101.10","2.47M","-0.97%"
"05/24/2024","102.17","102.02","102.50","101.67","1.86M","0.37%"
"05/23/2024","101.79","103.00","103.15","101.61","2.53M","-1.60%"
"05/22/2024","103.44","103.90","104.38","103.14","3.12M","-0.90%"
"05/21/2024","104.38","103.79","104.60","103.25","2.75M","0.69%"
"05/20/2024","103.66","103.93","103.93","103.33","2.09M","-0.22%"
"05/17/2024","103.89","103.14","103.93","102.44","3.69M","1.02%"
"05/16/2024","102.84","102.30","103.25","102.30","4.14M","-0.49%"
"05/15/2024","103.35","103.30","103.66","102.86","2.64M","1.02%"
"05/14/2024","102.31","103.16","103.26","102.23","2.17M","-0.56%"
"05/13/2024","102.89","102.70","103.83","102.61","2.19M","0.21%"
"05/10/2024","102.67","103.49","103.64","102.60","2.78M","-0.34%"
"05/09/2024","103.02","102.25","103.05","102.00","3.00M","0.63%"
"05/08/2024","102.38","102.43","102.64","101.67","3.50M","0.12%"
"05/07/2024","102.26","101.00","102.36","100.30","5.23M","1.83%"
"05/06/2024","100.42","100.49","100.74","99.85","3.08M","0.16%"
"05/03/2024","100.26","99.85","100.34","99.10","4.34M","0.96%"
"05/02/2024","99.31","100.00","100.08","98.58","2.81M","-0.47%"
"05/01/2024","99.78","97.95","100.56","97.49","4.86M","1.55%"
"04/30/2024","98.26","98.29","98.94","97.65","2.57M","-0.48%"
"04/29/2024","98.73","98.25","99.08","98.21","2.13M","1.04%"
