"Date","Price","Open","High","Low","Vol.","Change %"
"10/07/2024","131.20","131.04","131.78","130.15","1.96M","-0.04%"
"10/04/2024","131.25","131.85","132.44","130.42","3.27M","0.41%"
"10/03/2024","130.72","132.59","132.59","130.33","3.63M","-1.72%"
"10/02/2024","133.01","133.49","134.39","132.54","2.26M","-0.20%"
"10/01/2024","133.27","136.30","136.46","132.01","3.66M","-2.25%"
"09/30/2024","136.34","134.76","136.93","134.76","4.12M","1.55%"
"09/27/2024","134.26","133.97","135.60","133.97","4.10M","0.70%"
"09/26/2024","133.33","132.57","134.23","132.57","4.00M","1.38%"
"09/25/2024","131.51","129.54","131.81","129.24","5.05M","1.54%"
"09/24/2024","129.52","129.40","129.81","128.62","3.83M","0.61%"
"09/23/2024","128.74","129.38","129.40","127.85","2.99M","0.11%"
"09/20/2024","128.60","128.50","129.20","126.54","14.21M","-2.67%"
"09/19/2024","132.13","132.75","133.57","131.79","4.09M","1.13%"
"09/18/2024","130.65","131.00","132.13","130.46","2.94M","0.00%"
"09/17/2024","130.65","130.00","131.50","129.42","3.14M","1.35%"
"09/16/2024","128.91","128.19","129.51","127.97","4.59M","1.31%"
"09/13/2024","127.24","128.67","128.79","125.65","5.21M","-0.92%"
"09/12/2024","128.42","128.88","129.05","127.48","3.45M","-0.06%"
"09/11/2024","128.50","129.27","129.27","126.34","3.40M","-1.02%"
"09/10/2024","129.83","129.43","130.15","128.53","2.59M","0.74%"
"09/09/2024","128.88","127.80","129.72","127.61","3.77M","1.05%"
"09/06/2024","127.54","127.67","128.14","126.71","3.59M","0.11%"
"09/05/2024","127.40","129.29","129.30","126.69","5.31M","-1.18%"
"09/04/2024","128.92","127.69","129.53","127.13","5.71M","1.11%"
"09/03/2024","127.50","127.58","128.32","127.06","5.82M","-0.82%"
"08/30/2024","128.55","127.51","128.70","126.89","4.12M","1.24%"
"08/29/2024","126.98","128.02","128.29","126.76","3.48M","-0.17%"
"08/28/2024","127.19","127.61","128.76","126.65","3.36M","-0.56%"
"08/27/2024","127.90","129.66","129.73","127.25","3.21M","-1.05%"
"08/26/2024","129.26","128.87","129.58","128.38","4.50M","1.01%"
"08/23/2024","127.97","127.53","129.26","126.94","6.31M","0.89%"
"08/22/2024","126.84","128.18","128.18","126.14","5.08M","-0.83%"
"08/21/2024","127.90","129.65","129.78","127.59","4.90M","-0.76%"
"08/20/2024","128.88","128.83","129.20","127.59","2.34M","-0.05%"
"08/19/2024","128.95","127.76","129.88","127.64","3.16M","-0.54%"
"08/16/2024","129.65","128.51","130.06","128.37","3.26M","0.86%"
"08/15/2024","128.55","127.88","129.40","127.88","4.45M","1.68%"
"08/14/2024","126.42","126.36","126.80","125.73","3.16M","-0.06%"
"08/13/2024","126.49","125.31","126.96","124.85","3.06M","1.31%"
"08/12/2024","124.86","126.01","126.12","124.57","2.55M","-0.76%"
"08/09/2024","125.82","126.34","126.34","124.68","3.83M","-0.31%"
"08/08/2024","126.21","123.20","126.34","123.12","3.82M","2.34%"
"08/07/2024","123.32","125.25","127.11","123.25","4.74M","-0.95%"
"08/06/2024","124.50","126.06","127.79","124.42","5.61M","-1.21%"
"08/05/2024","126.02","126.83","127.95","125.80","5.24M","-1.59%"
"08/02/2024","128.06","129.88","130.64","127.20","5.10M","-1.93%"
"08/01/2024","130.58","131.04","132.49","129.61","4.79M","0.16%"
"07/31/2024","130.37","129.25","131.15","127.45","7.03M","1.04%"
"07/30/2024","129.03","128.70","130.86","128.46","4.75M","0.33%"
"07/29/2024","128.61","129.14","129.24","127.65","5.41M","-0.17%"
"07/26/2024","128.83","128.84","129.86","128.46","7.27M","1.38%"
"07/25/2024","127.08","129.27","129.55","126.54","7.76M","-1.13%"
"07/24/2024","128.53","126.51","129.24","124.80","11.64M","0.67%"
"07/23/2024","127.68","130.14","132.26","124.97","25.35M","-12.05%"
"07/22/2024","145.18","145.75","146.17","143.69","3.63M","0.00%"
"07/19/2024","145.18","145.87","145.88","143.24","3.07M","0.29%"
"07/18/2024","144.76","146.02","148.15","144.45","3.41M","-1.78%"
"07/17/2024","147.38","146.99","147.79","146.40","2.86M","0.03%"
